Symbol,ETF Name
QQQ,Invesco QQQ
VGT,Vanguard Information Technology ETF
XLK,Technology Select Sector SPDR Fund
VNQ,Vanguard Real Estate Index Fund
XLV,Health Care Select Sector SPDR Fund
XLF,Financial Select Sector SPDR Fund
XLP,Consumer Staples Select Sector SPDR Fund
XLY,Consumer Discretionary Select Sector SPDR Fund
XLU,Utilities Select Sector SPDR Fund
XLE,Energy Select Sector SPDR Fund
VHT,Vanguard Healthcare ETF
XLC,Communication Services Select Sector SPDR Fund
IBB,iShares Nasdaq Biotechnology ETF
FDN,First Trust Dow Jones Internet Index
XLI,Industrial Select Sector SPDR Fund
IHI,iShares U.S. Medical Devices ETF
VFH,Vanguard Financials ETF
IYW,iShares U.S. Technology ETF
VDC,Vanguard Consumer Staples ETF
XLB,Materials Select Sector SPDR ETF
SCHH,Schwab US REIT ETF
AMLP,Alerian MLP ETF
XBI,SPDR S&P Biotech ETF
XLRE,Real Estate Select Sector SPDR Fund
IGV,iShares Expanded Tech-Software Sector ET
VPU,Vanguard Utilities ETF
SKYY,First Trust ISE Cloud Computing Index Fund
FTEC,Fidelity MSCI Information Technology Index ETF
IXN,iShares Global Tech ETF
VDE,Vanguard Energy ETF
ITA,iShares U.S. Aerospace & Defense ETF
IYR,iShares U.S. Real Estate ETF
VCR,Vanguard Consumer Discretionary ETF
SOXX,iShares PHLX Semiconductor ETF
VIS,Vanguard Industrial ETF
QTEC,First Trust NASDAQ 100 Technology
XT,iShares Exponential Technologies ETF
VOX,Vanguard Communication Services ETF
IYH,iShares U.S. Healthcare ETF
IGM,iShares Expanded Tech Sector ETF
IXJ,iShares Global Healthcare ETF
XOP,SPDR S&P Oil & Gas Exploration & Production ETF
FBT,First Trust Amex Biotechnology Index
SMH,VanEck Vectors Semiconductor ETF
FXL,First Trust Technology AlphaDEX Fund
FHLC,Fidelity MSCI Health Care Index ETF
ICF,iShares Cohen & Steers REIT ETF
FXH,First Trust Health Care AlphaDEX Fund
CIBR,First Trust NASDAQ CEA Cybersecurity ETF
RYT,Invesco S&P 500® Equal Weight Technology ETF
VAW,Vanguard Materials ETF
XAR,SPDR S&P Aerospace & Defense ETF
RWR,SPDR Dow Jones REIT ETF
TECL,Direxion Daily Technology Bull 3X Shares
ITB,iShares U.S. Home Construction ETF
KBE,SPDR S&P Bank ETF
IEV,iShares Europe ETF
SOXL,Direxion Daily Semiconductor Bull 3x Shares
IYF,iShares U.S. Financials ETF
IYG,iShares U.S. Financial Services ETF
TDIV,First Trust NASDAQ Technology Dividend Index Fund
KRE,SPDR S&P Regional Banking ETF
ARKG,ARK Genomic Revolution Multi-Sector ETF
PHO,Invesco Water Resources ETF
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF
FREL,Fidelity MSCI Real Estate Index ETF
NUGT,Direxion Daily Gold Miners Bull 2X Shares
IYC,iShares US Consumer Services ETF
IHF,iShares U.S. Healthcare Providers ETF
FUTY,Fidelity MSCI Utilities Index ETF
IDU,iShares U.S. Utilities ETF
REM,iShares Mortgage Real Estate ETF
FXU,First Trust Utilities AlphaDEX Fund
XHB,SPDR S&P Homebuilders ETF
FNCL,Fidelity MSCI Financials Index ETF
PPA,Invesco Aerospace & Defense ETF
IYJ,iShares U.S. Industrials ETF
RYH,Invesco S&P 500® Equal Weight Health Care ETF
MLPA,Global X MLP ETF
FDIS,Fidelity MSCI Consumer Discretionary Index ETF
SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF
KXI,iShares Global Consumer Staples ETF
CGW,Invesco S&P Global Water Index ETF
FSTA,Fidelity MSCI Consumer Staples Index ETF
PNQI,Invesco NASDAQ Internet ETF
JNUG,Direxion Daily Junior Gold Miners Index Bull 2x Shares
KIE,SPDR S&P Insurance ETF
MLPX,Global X MLP & Energy Infrastructure ETF
IYT,iShares Transportation Average ETF
FINX,Global X FinTech Thematic ETF
FCOM,Fidelity MSCI Communication Services Index ETF
RHS,Invesco S&P 500® Equal Weight Consumer Staples ETF
XHE,SPDR S&P Health Care Equipment ETF
IYE,iShares U.S. Energy ETF
FIW,First Trust ISE Water Index Fund
OIH,VanEck Vectors Oil Services ETF
FENY,Fidelity MSCI Energy Index ETF
IYK,iShares U.S. Consumer Goods ETF
XSD,SPDR S&P Semiconductor ETF
KBWB,Invesco KBW Bank ETF
BBH,VanEck Vectors Biotech ETF
PSJ,Invesco Dynamic Software ETF
ROM,ProShares Ultra Technology
LABU,Direxion Daily S&P Biotech Bull 3x Shares
ERX,Direxion Daily Energy Bull 2X Shares
IGE,iShares North American Natural Resources ETF
XME,SPDR S&P Metals & Mining ETF
PSCH,Invesco S&P SmallCap Health Care ETF
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 2x Shares
PTH,Invesco DWA Healthcare Momentum ETF
XNTK,NYSE Technology ETF
IYZ,iShares U.S. Telecommunications ETF
IHE,iShares U.S. Pharmaceuticals ETF
REZ,iShares Residential Real Estate ETF
PJP,Invesco Dynamic Pharmaceuticals ETF
XRT,SPDR S&P Retail ETF
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares
FIDU,Fidelity MSCI Industrials Index ETF
FIVG,Defiance Next Gen Connectivity ETF
PBW,Invesco WilderHill Clean Energy ETF
IYM,iShares U.S. Basic Materials ETF
RYU,Invesco S&P 500® Equal Weight Utilities ETF
IAT,iShares U.S. Regional Banks ETF
PEJ,Invesco Dynamic Leisure and Entertainment ETF
PSI,Invesco Dynamic Semiconductors ETF
FXG,First Trust Consumer Staples AlphaDEX Fund
PSCT,Invesco S&P SmallCap Information Technology ETF
XPH,SPDR S&P Pharmaceuticals ETF
PPH,VanEck Vectors Pharmaceutical ETF
PBE,Invesco Dynamic Biotechnology & Genome ETF
XSW,SPDR S&P Software & Services ETF
IEZ,iShares U.S. Oil Equipment & Services ETF
MLPB,ETRACS Alerian MLP Infrastructure Index ETN
BIZD,VanEck Vectors BDC Income ETF
PTF,Invesco DWA Technology Momentum ETF
WCLD,WisdomTree Cloud Computing Fund
SBIO,ALPS Medical Breakthroughs ETF
FXD,First Trust Consumer Discretionary AlphaDEX Fund
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares
KBWY,Invesco KBW Premium Yield Equity REIT ETF
IEO,iShares U.S. Oil & Gas Exploration & Production ETF
CLIX,ProShares Long Online/Short Stores ETF
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund
RYF,Invesco S&P 500® Equal Weight Financials ETF
XTN,SPDR S&P Transportation ETF
MORT,VanEck Vectors Mortgage REIT Income ETF
SOXS,Direxion Daily Semiconductor Bear 3x Shares
FMAT,Fidelity MSCI Materials Index ETF
RGI,Invesco S&P 500® Equal Weight Industrials ETF
CURE,Direxion Daily Healthcare Bull 3x Shares
AMZA,InfraCap MLP ETF
HDGE,AdvisorShares Ranger Equity Bear ETF
ONLN,ProShares Online Retail ETF
DIG,ProShares Ultra Oil & Gas
PAVE,Global X US Infrastructure Development ETF
RTM,Invesco S&P 500® Equal Weight Materials ETF
IAI,iShares US Broker-Dealers ETF
XITK,SPDR FactSet Innovative Technology ETF
PSR,Invesco Active U.S. Real Estate Fund
PSL,Invesco DWA Consumer Staples Momentum ETF
RTH,VanEck Vectors Retail ETF
RXL,ProShares Ultra Health Care
FXN,First Trust Energy AlphaDEX Fund
MLPI,UBS E-TRACS Alerian MLP Infrastructure ETN
XES,SPDR S&P Oil & Gas Equipment & Services ETF
FRI,First Trust S&P REIT Index Fund
FCG,First Trust ISE-Revere Natural Gas Index Fund
PPTY,PPTY - U.S. Diversified Real Estate ETF
XHS,SPDR S&P Health Care Services ETF
RYE,Invesco S&P 500® Equal Weight Energy ETF
URE,ProShares Ultra Real Estate
BTEC,Principal Healthcare Innovators Index ETF
DPST,Direxion Daily Regional Banks Bull 3X Shares
USD,ProShares Ultra Semiconductors
PUI,Invesco DWA Utilities Momentum ETF
LABD,Direxion Daily S&P Biotech Bear 3x Shares
PKB,Invesco Dynamic Building & Construction ETF
NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETN
FXZ,First Trust Materials AlphaDEX Fund
QABA,First Trust NASDAQ ABA Community Bank Index
KBWP,Invesco KBW Property & Casualty Insurance ETF
FTXO,First Trust Nasdaq Bank ETF
IAK,iShares U.S. Insurance ETF
REML,Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETN
DRN,Direxion Daily Real Estate Bull 3x Shares
PRN,Invesco DWA Industrials Momentum ETF
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF
RCD,Invesco S&P 500® Equal Weight Consumer Discretionary ETF
PXQ,Invesco Dynamic Networking ETF
XTL,SPDR S&P Telecom ETF
IETC,iShares Evolved U.S. Technology ETF
NURE,Nuveen Short-Term REIT ETF
VMOT,Alpha Architect Value Momentum Trend ETF
BBC,Virtus LifeSci Biotech Clinical Trials ETF
DRV,Direxion Daily Real Estate Bear 3x Shares
IGN,iShares North American Tech-Multimedia Networking ETF
CWEB,Direxion Daily CSI China Internet Index Bull 2x Shares
NETL,NETLease Corporate Real Estate ETF
SRS,ProShares Ultra Short Real Estate
JHMH,John Hancock Multi-Factor Health Care ETF
ROOF,IQ US Real Estate Small Cap ETF
FTXL,First Trust Nasdaq Semiconductor ETF
ZMLP,Direxion Zacks MLP High Income Shares
CNCR,Loncar Cancer Immunotherapy ETF
TDV,ProShares S&P Technology Dividend Aristocrats ETF
AIRR,First Trust RBA American Industrial Renaissance ETF
SLX,VanEck Vectors Steel ETF
JHMT,John Hancock Multi-Factor Technology ETF
VPC,Virtus Private Credit Strategy ETF
PSCI,Invesco S&P SmallCap Industrials ETF
TECS,Direxion Daily Technology Bear 3X Shares
SKF,ProShares Ultra Short Financials
PYZ,Invesco DWA Basic Materials Momentum ETF
JHMC,John Hancock Multi-Factor Consumer Discretionary ETF
DRIP,Direxion Daily S&P Oil & Gas Exploration & Production Bear 2x Shares
EVX,VanEck Vectors Environmental Services ETF
PXI,Invesco DWA Energy Momentum ETF
RDOG,ALPS REIT Dividend Dogs ETF
KBWR,Invesco KBW Regional Banking ETF
PSCF,Invesco S&P SmallCap Financials ETF
PBS,Invesco Dynamic Media ETF
UYM,ProShares Ultra Basic Materials
SEF,Short Financials ProShares
UTES,Reaves Utilities ETF
PFI,Invesco DWA Financial Momentum ETF
