Symbol,ETF Name,ETFdb.com Category
QQQ,Invesco QQQ,Large Cap Blend Equities
VGT,Vanguard Information Technology ETF,Technology Equities
XLK,Technology Select Sector SPDR Fund,Technology Equities
VNQ,Vanguard Real Estate Index Fund,Real Estate
XLV,Health Care Select Sector SPDR Fund,Health & Biotech Equities
XLF,Financial Select Sector SPDR Fund,Financials Equities
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Staples Equities
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary Equities
XLU,Utilities Select Sector SPDR Fund,Utilities Equities
XLE,Energy Select Sector SPDR Fund,Energy Equities
VHT,Vanguard Healthcare ETF,Health & Biotech Equities
XLC,Communication Services Select Sector SPDR Fund,Large Cap Blend Equities
IBB,iShares Nasdaq Biotechnology ETF,Health & Biotech Equities
FDN,First Trust Dow Jones Internet Index,Large Cap Blend Equities
XLI,Industrial Select Sector SPDR Fund,Industrials Equities
IHI,iShares U.S. Medical Devices ETF,Health & Biotech Equities
VFH,Vanguard Financials ETF,Financials Equities
IYW,iShares U.S. Technology ETF,Technology Equities
VDC,Vanguard Consumer Staples ETF,Consumer Staples Equities
XLB,Materials Select Sector SPDR ETF,Materials
SCHH,Schwab US REIT ETF,Real Estate
AMLP,Alerian MLP ETF,MLPs
XBI,SPDR S&P Biotech ETF,Health & Biotech Equities
XLRE,Real Estate Select Sector SPDR Fund,Real Estate
IGV,iShares Expanded Tech-Software Sector ET,Technology Equities
VPU,Vanguard Utilities ETF,Utilities Equities
SKYY,First Trust ISE Cloud Computing Index Fund,Technology Equities
FTEC,Fidelity MSCI Information Technology Index ETF,Technology Equities
IXN,iShares Global Tech ETF,Technology Equities
VDE,Vanguard Energy ETF,Energy Equities
ITA,iShares U.S. Aerospace & Defense ETF,Industrials Equities
IYR,iShares U.S. Real Estate ETF,Real Estate
VCR,Vanguard Consumer Discretionary ETF,Consumer Discretionary Equities
SOXX,iShares PHLX Semiconductor ETF,Technology Equities
VIS,Vanguard Industrial ETF,Industrials Equities
QTEC,First Trust NASDAQ 100 Technology,Technology Equities
XT,iShares Exponential Technologies ETF,Large Cap Blend Equities
VOX,Vanguard Communication Services ETF,Large Cap Blend Equities
IYH,iShares U.S. Healthcare ETF,Health & Biotech Equities
IGM,iShares Expanded Tech Sector ETF,Technology Equities
IXJ,iShares Global Healthcare ETF,Health & Biotech Equities
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Energy Equities
FBT,First Trust Amex Biotechnology Index,Health & Biotech Equities
SMH,VanEck Vectors Semiconductor ETF,Technology Equities
FXL,First Trust Technology AlphaDEX Fund,Technology Equities
FHLC,Fidelity MSCI Health Care Index ETF,Health & Biotech Equities
ICF,iShares Cohen & Steers REIT ETF,Real Estate
FXH,First Trust Health Care AlphaDEX Fund,Health & Biotech Equities
CIBR,First Trust NASDAQ CEA Cybersecurity ETF,Technology Equities
RYT,Invesco S&P 500® Equal Weight Technology ETF,Technology Equities
VAW,Vanguard Materials ETF,Materials
XAR,SPDR S&P Aerospace & Defense ETF,Industrials Equities
RWR,SPDR Dow Jones REIT ETF,Real Estate
TECL,Direxion Daily Technology Bull 3X Shares,Leveraged Equities
ITB,iShares U.S. Home Construction ETF,Building & Construction 
KBE,SPDR S&P Bank ETF,Financials Equities
IEV,iShares Europe ETF,Europe Equities
SOXL,Direxion Daily Semiconductor Bull 3x Shares,Leveraged Equities
